               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068617,            0.028229,            0.036033,             0.36459,             0.49407,             0.20029,             0.17361,             0.03255,            0.011733,            0.015484,             0.07028,           0.0033022,           0.0033022
                   1,             0.04561,            0.015826,            0.025441,             0.37014,             0.41517,             0.47537,             0.31335,            0.025391,           0.0059181,            0.012023,            0.039623,           0.0059786,           0.0059786
                   2,            0.044366,            0.011775,            0.021082,             0.26288,             0.79511,             0.41659,             0.29589,            0.035663,           0.0060343,            0.013026,           0.0083065,            0.007995,            0.007995
                   3,            0.036468,           0.0098466,            0.020454,              0.3409,             0.82503,             0.43882,             0.26908,            0.022573,            0.004226,            0.011269,             0.00703,             0.00703,             0.00703
                   4,            0.033194,           0.0087634,            0.019062,             0.55199,             0.91678,             0.74622,             0.55736,            0.020796,            0.003262,           0.0077298,             0.00703,             0.00703,             0.00703
                   5,            0.028666,           0.0079272,            0.017603,             0.51632,             0.79781,             0.63376,             0.50085,            0.018467,           0.0036947,            0.007842,             0.00604,             0.00604,             0.00604
                   6,            0.027966,           0.0070464,             0.01702,             0.32515,             0.77358,             0.59895,             0.49842,            0.020131,           0.0029799,           0.0094702,             0.00505,             0.00505,             0.00505
                   7,            0.024212,           0.0067148,            0.016041,             0.69949,             0.91108,             0.82237,             0.61061,            0.018902,           0.0030894,           0.0055167,             0.00406,             0.00406,             0.00406
                   8,            0.023744,           0.0062084,            0.015181,             0.57322,             0.77978,             0.76283,             0.60609,            0.014091,           0.0027967,           0.0073751,             0.00307,             0.00307,             0.00307
                   9,            0.020414,           0.0055209,            0.014426,             0.72249,             0.88134,             0.88279,             0.74858,            0.014015,           0.0033075,           0.0046406,             0.00208,             0.00208,             0.00208
